T/D,온도(℃),습도(%),PM1.0(㎍/㎥),PM2.5(㎍/㎥),PM4.0(㎍/㎥),PM10(㎍/㎥),CO2(ppm),TVOC(ppb)
2023-01-02 13:55,24.22,62.724,12.566,13.288,13.288,13.288,1562.73,0
2023-01-02 13:56,24.079,56.151,12.218,12.92,12.92,12.92,1436.363,0
2023-01-02 13:56,23.963,54.921,11.673,12.343,12.343,12.343,1407.452,0
2023-01-02 13:56,23.888,53.929,11.261,11.908,11.908,11.908,1234.794,0
2023-01-02 13:57,23.927,54.201,6.272,8.154,8.154,10.033,2137.58,0
2023-01-02 13:57,23.856,53.99,7.756,8.657,8.657,9.218,8641.088,10
2023-01-02 13:57,23.88,56.354,9.557,10.511,10.511,11.01,21947.466,113.4
2023-01-02 13:57,23.846,55.653,11.263,12.388,12.388,12.979,23612.676,124
2023-01-02 13:57,23.888,52.977,11.435,12.55,12.55,13.117,27310.71,131.8
2023-01-02 13:57,23.804,52.703,10.728,11.739,11.739,12.227,30447.694,154.8
2023-01-02 13:58,23.858,53.673,10.932,11.958,11.958,12.449,34248.708,183.4
2023-01-02 13:58,23.861,52.318,10.829,11.577,11.577,11.732,32599.842,174.6
2023-01-02 13:58,24.268,49.214,11.118,11.77,11.77,11.787,26196.01,143
2023-01-02 13:58,24.028,46.512,10.63,11.242,11.242,11.244,20635.948,97.6
2023-01-02 13:58,23.968,42.05,10.612,11.222,11.222,11.222,13036.147,15
2023-01-02 13:58,24.092,38.752,10.672,11.304,11.304,11.327,7189.837,0
2023-01-02 13:59,24.532,42.104,10.848,11.542,11.542,11.629,16597.338,12.8
2023-01-02 13:59,24.657,41.608,10.974,11.806,11.806,12.054,18618.206,52.6
2023-01-02 13:59,24.342,40.052,11.177,12.113,12.113,12.476,17492.458,49
2023-01-02 13:59,24.412,38.777,11.099,12.017,12.017,12.363,26276.102,48.2
2023-01-02 13:59,24.114,37.798,10.593,11.52,11.52,11.914,18810.796,96
2023-01-02 13:59,24.094,36.699,10.088,11.003,11.003,11.418,10877.684,10.6
2023-01-02 14:00,24.151,34.05,9.32,9.975,9.975,10.123,6854.41,0
2023-01-02 14:00,24.162,31.919,8.479,8.986,8.986,9.01,4816.753,0
2023-01-02 14:00,24.222,30.343,8.239,8.714,8.714,8.717,3174.466,0
2023-01-02 14:00,24.316,29.233,7.962,8.42,8.42,8.42,2267.139,0
2023-01-02 14:00,24.384,28.41,8.47,8.957,8.957,8.957,1779.952,0
2023-01-02 14:00,24.44,27.931,9.362,9.933,9.933,9.975,1477.989,0
2023-01-02 14:01,24.458,27.329,9.436,9.998,9.998,10.022,1372.716,0
2023-01-02 14:01,24.512,26.849,9.294,9.839,9.839,9.853,1251.266,0
2023-01-02 14:01,24.553,26.414,8.717,9.253,9.253,9.298,1187.006,0
2023-01-02 14:01,24.566,25.982,8.722,9.227,9.227,9.233,1126.361,0
2023-01-02 14:01,24.642,25.572,9.027,9.547,9.547,9.547,1091.077,0
2023-01-02 14:01,24.648,25.241,9.113,9.637,9.637,9.637,993.315,0
2023-01-02 14:02,24.698,24.995,9.435,9.977,9.977,9.977,972.492,0
2023-01-02 14:02,24.729,24.834,9.388,9.927,9.927,9.927,962.903,0
2023-01-02 14:02,24.735,24.588,9.364,9.903,9.903,9.903,952.181,0
2023-01-02 14:02,24.81,24.372,9.261,9.793,9.793,9.793,941.685,0
2023-01-02 14:02,24.758,24.111,8.912,9.424,9.424,9.424,931.712,0
2023-01-02 14:02,24.783,24.022,9.164,9.691,9.691,9.691,928.429,0
2023-01-02 14:03,24.843,23.851,9.627,10.179,10.179,10.179,926.104,0.2
2023-01-02 14:03,24.837,23.75,9.543,10.092,10.092,10.092,924.402,5
2023-01-02 14:03,24.863,23.574,9.558,10.107,10.107,10.107,923.03,0.8
2023-01-02 14:03,24.873,23.311,9.209,9.738,9.738,9.738,919.117,6.8
2023-01-02 14:03,24.876,23.044,8.875,9.386,9.386,9.386,914.324,6.2
2023-01-02 14:03,24.913,22.963,8.892,9.403,9.403,9.403,910.275,4.2
2023-01-02 14:04,24.954,22.883,8.689,9.188,9.188,9.188,906.918,4.6
2023-01-02 14:04,24.956,22.699,8.756,9.259,9.259,9.259,902.555,4
2023-01-02 14:04,24.947,22.463,8.537,9.028,9.028,9.028,897.524,1.6
2023-01-02 14:04,24.963,22.397,8.805,9.311,9.311,9.311,851.448,3.2
2023-01-02 14:04,25.004,22.276,8.368,8.852,8.852,8.856,850.935,8.4
2023-01-02 14:04,25.044,22.173,8.504,9.085,9.085,9.199,852.87,3.8
2023-01-02 14:05,25.058,22.065,8.909,9.5,9.5,9.598,847.669,1.8
2023-01-02 14:05,25.062,21.968,8.955,9.555,9.555,9.659,846.917,12.8
2023-01-02 14:05,25.084,21.847,8.803,9.396,9.396,9.504,846.127,12.2
2023-01-02 14:05,25.1,21.857,8.11,8.59,8.59,8.608,850.72,7
2023-01-02 14:05,25.083,21.777,7.551,8.021,8.021,8.065,851.599,6.6
2023-01-02 14:05,25.127,21.734,7.615,8.127,8.127,8.218,853.754,7
2023-01-02 14:06,25.156,21.621,7.491,7.939,7.939,7.961,857.326,12
2023-01-02 14:06,25.151,21.503,7.827,8.279,8.279,8.281,933.331,12.4
2023-01-02 14:06,25.175,21.416,7.828,8.278,8.278,8.278,966.232,6.6
2023-01-02 14:06,25.203,21.305,7.654,8.094,8.094,8.094,954.608,8
2023-01-02 14:06,25.209,21.215,7.743,8.187,8.187,8.187,944.183,8.2
2023-01-02 14:06,25.246,21.112,8.012,8.473,8.473,8.473,928.86,9.8
2023-01-02 14:07,25.25,21.05,8.588,9.082,9.082,9.082,919.695,10
2023-01-02 14:07,25.27,20.981,8.372,8.898,8.898,8.954,912.291,4.4
2023-01-02 14:07,25.282,20.907,8.075,8.598,8.598,8.672,903.338,6.4
2023-01-02 14:07,25.331,20.857,7.862,8.35,8.35,8.394,895.549,4.4
2023-01-02 14:07,25.307,20.808,8.263,8.78,8.78,8.833,887.223,4.8
2023-01-02 14:07,25.353,20.782,8.805,9.318,9.318,9.326,879.608,8.8
