Chem_group,Koc_L.kg-1
Predominantly hydrophobics,6.69E+01 
Non hydrophobics,1.34E+02 
"Phenols, anilines, benzonitriles, nitrobenzenes",1.74E+02 
"Acetanilides, carbamates, esters, phenylureas, phosphates, triazines, triazoles, uracils",1.23E+02 
"Alcohols, organic acids",3.17E+01 
Acetanilides,9.37E+01 
Alcohols,2.14E+01 
Amides,8.97E+01 
Anilines,1.48E+02 
Carbamates,8.47E+01 
Dinitroanilines,5.36E+02 
Esters,1.24E+02 
Nitrobenzenes,1.55E+02 
Organic acids,3.96E+01 
"Phenols, benzonitriles",1.97E+02 
Phenylureas,1.24E+02 
Phosphates,1.64E+02 
Triazines,1.38E+02 
Triazoles,2.58E+02 
