Biodegradability test result,Log H,Log Kow,% to air,% to water,% to sludge,sum
5,-4,0,0,100,0, 100 
5,-4,1,0,100,0, 100 
5,-4,2,0,99,1, 100 
5,-4,3,0,96,4, 100 
5,-4,4,0,79,21, 100 
5,-4,5,0,39,61, 100 
5,-4,6,0,15,85, 100 
5,-3,0,0,100,0, 100 
5,-3,1,0,100,0, 100 
5,-3,2,0,99,1, 100 
5,-3,3,0,96,4, 100 
5,-3,4,0,79,21, 100 
5,-3,5,0,39,61, 100 
5,-3,6,0,15,85, 100 
5,-2,0,0,100,0, 100 
5,-2,1,0,100,0, 100 
5,-2,2,0,99,1, 100 
5,-2,3,0,96,4, 100 
5,-2,4,0,79,21, 100 
5,-2,5,0,39,61, 100 
5,-2,6,0,15,85, 100 
5,-1,0,0,100,0, 100 
5,-1,1,0,100,0, 100 
5,-1,2,0,99,1, 100 
5,-1,3,0,96,4, 100 
5,-1,4,0,79,21, 100 
5,-1,5,0,39,61, 100 
5,-1,6,0,15,85, 100 
5,0,0,2,98,0, 100 
5,0,1,2,98,0, 100 
5,0,2,2,97,1, 100 
5,0,3,2,94,4, 100 
5,0,4,1,77,22, 100 
5,0,5,1,39,60, 100 
5,0,6,0,15,85, 100 
5,1,0,15,85,0, 100 
5,1,1,15,85,0, 100 
5,1,2,15,84,1, 100 
5,1,3,14,82,4, 100 
5,1,4,12,68,20, 100 
5,1,5,5,35,60, 100 
5,1,6,1,14,85, 100 
5,2,0,64,36,0, 100 
5,2,1,64,36,0, 100 
5,2,2,64,35,1, 100 
5,2,3,62,35,3, 100 
5,2,4,52,30,18, 100 
5,2,5,28,19,53, 100 
5,2,6,9,11,80, 100 
5,3,0,91,9,0, 100 
5,3,1,91,9,0, 100 
5,3,2,91,9,0, 100 
5,3,3,89,8,3, 100 
5,3,4,76,8,16, 100 
5,3,5,48,6,46, 100 
5,3,6,23,6,71, 100 
5,4,0,95,5,0, 100 
5,4,1,95,5,0, 100 
5,4,2,94,5,1, 100 
5,4,3,92,5,3, 100 
5,4,4,80,5,15, 100 
5,4,5,51,4,45, 100 
5,4,6,27,4,69, 100 
5,5,0,95,5,0, 100 
5,5,1,95,5,0, 100 
5,5,2,95,5,0, 100 
5,5,3,92,5,3, 100 
5,5,4,80,4,16, 100 
5,5,5,51,4,45, 100 
5,5,6,27,4,69, 100 
4,-4,0,0,59,0, 59 
4,-4,1,0,59,0, 59 
4,-4,2,0,59,1, 60 
4,-4,3,0,57,4, 61 
4,-4,4,0,48,19, 67 
4,-4,5,0,28,56, 84 
4,-4,6,0,13,83, 96 
4,-3,0,0,59,0, 59 
4,-3,1,0,59,0, 59 
4,-3,2,0,59,1, 60 
4,-3,3,0,57,4, 61 
4,-3,4,0,48,19, 67 
4,-3,5,0,28,56, 84 
4,-3,6,0,13,83, 96 
4,-2,0,0,59,0, 59 
4,-2,1,0,59,0, 59 
4,-2,2,0,59,1, 60 
4,-2,3,0,57,4, 61 
4,-2,4,0,48,19, 67 
4,-2,5,0,28,56, 84 
4,-2,6,0,13,83, 96 
4,-1,0,0,59,0, 59 
4,-1,1,0,59,0, 59 
4,-1,2,0,59,1, 60 
4,-1,3,0,57,4, 61 
4,-1,4,0,48,19, 67 
4,-1,5,0,28,56, 84 
4,-1,6,0,13,83, 96 
4,0,0,1,58,0, 59 
4,0,1,1,58,0, 59 
4,0,2,1,58,1, 60 
4,0,3,1,56,4, 61 
4,0,4,1,48,19, 68 
4,0,5,0,27,56, 83 
4,0,6,0,13,82, 95 
4,1,0,10,52,0, 62 
4,1,1,10,52,0, 62 
4,1,2,10,52,1, 63 
4,1,3,9,50,4, 63 
4,1,4,8,43,19, 70 
4,1,5,4,25,55, 84 
4,1,6,1,13,82, 96 
4,2,0,50,28,0, 78 
4,2,1,50,28,0, 78 
4,2,2,50,27,1, 78 
4,2,3,49,27,3, 79 
4,2,4,41,24,17, 82 
4,2,5,23,16,51, 90 
4,2,6,8,10,78, 96 
4,3,0,85,8,0, 93 
4,3,1,85,8,0, 93 
4,3,2,85,8,0, 93 
4,3,3,83,8,3, 94 
4,3,4,72,7,16, 95 
4,3,5,45,5,46, 96 
4,3,6,22,6,71, 99 
4,4,0,91,5,0, 96 
4,4,1,91,5,0, 96 
4,4,2,90,5,0, 95 
4,4,3,88,5,3, 96 
4,4,4,77,5,15, 97 
4,4,5,49,4,45, 98 
4,4,6,26,4,69, 99 
4,5,0,91,5,0, 96 
4,5,1,91,5,0, 96 
4,5,2,91,5,0, 96 
4,5,3,89,5,3, 97 
4,5,4,77,4,15, 96 
4,5,5,49,3,45, 97 
4,5,6,26,4,68, 98 
3,-4,0,0,33,0, 33 
3,-4,1,0,33,0, 33 
3,-4,2,0,32,1, 33 
3,-4,3,0,32,3, 35 
3,-4,4,0,27,17, 44 
3,-4,5,0,18,51, 69 
3,-4,6,0,11,79, 90 
3,-3,0,0,33,0, 33 
