T/D,PM2.5(§¶/§©)
2023-01-19 10:59,1.267
2023-01-19 10:59,1.067
2023-01-19 10:59,1.113
2023-01-19 10:59,1.604
2023-01-19 10:59,1.356
2023-01-19 10:59,1.039
2023-01-19 11:00,0.954
2023-01-19 11:00,0.862
2023-01-19 11:00,0.939
2023-01-19 11:00,1.1
2023-01-19 11:00,1.157
2023-01-19 11:00,0.962
2023-01-19 11:01,0.893
2023-01-19 11:01,0.808
2023-01-19 11:01,0.901
2023-01-19 11:01,1.129
2023-01-19 11:01,1.059
2023-01-19 11:01,1.056
2023-01-19 11:02,1.084
2023-01-19 11:02,1.054
2023-01-19 11:02,1.02
2023-01-19 11:02,1.015
2023-01-19 11:02,1.03
2023-01-19 11:02,1.077
2023-01-19 11:03,1.26
2023-01-19 11:03,1.279
2023-01-19 11:03,1.431
2023-01-19 11:03,1.363
2023-01-19 11:03,1.266
2023-01-19 11:03,1.129
2023-01-19 11:04,0.876
2023-01-19 11:04,0.62
2023-01-19 11:04,0.366
2023-01-19 11:04,0.195
2023-01-19 11:04,0.094
2023-01-19 11:04,0.078
2023-01-19 11:05,0.062
2023-01-19 11:05,0.034
2023-01-19 11:05,0.016
2023-01-19 11:05,0.007
2023-01-19 11:05,0.109
2023-01-19 11:05,0.067
2023-01-19 11:06,0.032
2023-01-19 11:06,0.014
2023-01-19 11:06,0.006
2023-01-19 11:06,0.002
2023-01-19 11:06,0
2023-01-19 11:06,0
2023-01-19 11:07,0
2023-01-19 11:07,0.059
2023-01-19 11:07,0.069
2023-01-19 11:07,0.005
2023-01-19 11:07,0
2023-01-19 11:07,0
2023-01-19 11:08,0.117
2023-01-19 11:08,0.031
2023-01-19 11:08,0
2023-01-19 11:08,0
2023-01-19 11:08,0
2023-01-19 11:08,0
2023-01-19 11:09,0
2023-01-19 11:09,0
2023-01-19 11:09,0
2023-01-19 11:09,0
2023-01-19 11:09,0
2023-01-19 11:09,0
2023-01-19 11:10,0
2023-01-19 11:10,0
2023-01-19 11:10,0
2023-01-19 11:10,0
2023-01-19 11:10,0
2023-01-19 11:10,0
2023-01-19 11:11,0
2023-01-19 11:11,0
2023-01-19 11:11,0
2023-01-19 11:11,0
2023-01-19 11:11,0
2023-01-19 11:11,0
2023-01-19 11:12,0
2023-01-19 11:12,0
2023-01-19 11:12,0
2023-01-19 11:12,0
2023-01-19 11:12,0
2023-01-19 11:12,0
2023-01-19 11:13,0
2023-01-19 11:13,0
2023-01-19 11:13,0
2023-01-19 11:13,0
2023-01-19 11:13,0
2023-01-19 11:13,0
2023-01-19 11:14,0.237
2023-01-19 11:14,0.001
2023-01-19 11:14,0.058
2023-01-19 11:14,0.311
2023-01-19 11:14,0.309
2023-01-19 11:14,0.259
2023-01-19 11:15,0.243
2023-01-19 11:15,1.668
2023-01-19 11:15,2.774
2023-01-19 11:15,5.89
2023-01-19 11:15,11.456
2023-01-19 11:15,12.914
2023-01-19 11:16,14.394
2023-01-19 11:16,13.946
2023-01-19 11:16,13.085
2023-01-19 11:16,13.149
2023-01-19 11:16,11.321
2023-01-19 11:16,8.326
2023-01-19 11:17,4.797
2023-01-19 11:17,2.385
2023-01-19 11:17,1.182
2023-01-19 11:17,44.488
2023-01-19 11:17,175.763
2023-01-19 11:17,342.402
2023-01-19 11:18,415.269
2023-01-19 11:18,441.976
2023-01-19 11:18,467.416
2023-01-19 11:18,479.284
2023-01-19 11:18,495.104
2023-01-19 11:18,485.348
2023-01-19 11:19,466.066
2023-01-19 11:19,439.733
2023-01-19 11:19,419.44
2023-01-19 11:19,390.391
2023-01-19 11:19,353.752
2023-01-19 11:19,331.344
2023-01-19 11:20,294.449
2023-01-19 11:20,259.367
2023-01-19 11:20,232.7
2023-01-19 11:20,215.005
2023-01-19 11:20,187.705
2023-01-19 11:20,172.394
2023-01-19 11:21,151.508
2023-01-19 11:21,132.022
2023-01-19 11:21,117.83
2023-01-19 11:21,107.632
2023-01-19 11:21,105.12
2023-01-19 11:21,98.018
2023-01-19 11:22,86.099
2023-01-19 11:22,74.059
2023-01-19 11:22,65.654
2023-01-19 11:22,58.698
2023-01-19 11:22,53.216
2023-01-19 11:22,48.376
