T/D,PM2.5(§¶/§©)
2023-01-19 10:57,2.41
2023-01-19 10:57,2.122
2023-01-19 10:57,1.983
2023-01-19 10:57,1.835
2023-01-19 10:57,1.504
2023-01-19 10:57,1.159
2023-01-19 10:58,1.154
2023-01-19 10:58,1.145
2023-01-19 10:58,1.271
2023-01-19 10:58,1.391
2023-01-19 10:58,1.433
2023-01-19 10:58,1.604
2023-01-19 10:59,1.713
2023-01-19 10:59,1.374
2023-01-19 10:59,1.201
2023-01-19 10:59,1.225
2023-01-19 10:59,1.256
2023-01-19 10:59,1.315
2023-01-19 11:00,1.227
2023-01-19 11:00,1.164
2023-01-19 11:00,1.107
2023-01-19 11:00,1.095
2023-01-19 11:00,1.261
2023-01-19 11:00,1.162
2023-01-19 11:01,0.988
2023-01-19 11:01,0.937
2023-01-19 11:01,0.975
2023-01-19 11:01,1.298
2023-01-19 11:01,1.368
2023-01-19 11:01,1.37
2023-01-19 11:02,1.252
2023-01-19 11:02,1.176
2023-01-19 11:02,1.166
2023-01-19 11:02,1.306
2023-01-19 11:02,1.338
2023-01-19 11:02,1.304
2023-01-19 11:03,1.287
2023-01-19 11:03,1.282
2023-01-19 11:03,1.304
2023-01-19 11:03,1.192
2023-01-19 11:03,1.09
2023-01-19 11:03,1.023
2023-01-19 11:04,0.746
2023-01-19 11:04,0.428
2023-01-19 11:04,0.208
2023-01-19 11:04,0.085
2023-01-19 11:04,0.047
2023-01-19 11:04,0.067
2023-01-19 11:05,0.08
2023-01-19 11:05,0.118
2023-01-19 11:05,0.213
2023-01-19 11:05,0.284
2023-01-19 11:05,0.268
2023-01-19 11:05,0.195
2023-01-19 11:06,0.177
2023-01-19 11:06,0.136
2023-01-19 11:06,0.116
2023-01-19 11:06,0.098
2023-01-19 11:06,0.143
2023-01-19 11:06,0.313
2023-01-19 11:07,0.223
2023-01-19 11:07,0.201
2023-01-19 11:07,0.168
2023-01-19 11:07,0.162
2023-01-19 11:07,0.132
2023-01-19 11:07,0.122
2023-01-19 11:08,0.145
2023-01-19 11:08,0.187
2023-01-19 11:08,0.271
2023-01-19 11:08,0.345
2023-01-19 11:08,0.336
2023-01-19 11:08,0.281
2023-01-19 11:09,0.278
2023-01-19 11:09,0.22
2023-01-19 11:09,0.213
2023-01-19 11:09,0.381
2023-01-19 11:09,0.372
2023-01-19 11:09,0.292
2023-01-19 11:10,0.214
2023-01-19 11:10,0.206
2023-01-19 11:10,0.27
2023-01-19 11:10,0.322
2023-01-19 11:10,0.455
2023-01-19 11:10,0.471
2023-01-19 11:11,0.4
2023-01-19 11:11,0.33
2023-01-19 11:11,0.296
2023-01-19 11:11,0.339
2023-01-19 11:11,0.439
2023-01-19 11:11,0.413
2023-01-19 11:12,0.327
2023-01-19 11:12,0.323
2023-01-19 11:12,0.301
2023-01-19 11:12,0.287
2023-01-19 11:12,0.332
2023-01-19 11:12,0.293
2023-01-19 11:13,0.275
2023-01-19 11:13,0.283
2023-01-19 11:13,0.388
2023-01-19 11:13,1.254
2023-01-19 11:13,1.135
2023-01-19 11:13,1.047
2023-01-19 11:14,0.934
2023-01-19 11:14,0.841
2023-01-19 11:14,0.668
2023-01-19 11:14,0.445
2023-01-19 11:14,0.242
2023-01-19 11:14,0.136
2023-01-19 11:15,0.807
2023-01-19 11:15,7.054
2023-01-19 11:15,12.054
2023-01-19 11:15,15.296
2023-01-19 11:15,16.355
2023-01-19 11:15,15.468
2023-01-19 11:16,15.189
2023-01-19 11:16,15.457
2023-01-19 11:16,14.949
2023-01-19 11:16,13.088
2023-01-19 11:16,10.932
2023-01-19 11:16,7.363
2023-01-19 11:17,3.945
2023-01-19 11:17,1.919
2023-01-19 11:17,26.574
2023-01-19 11:17,157.411
2023-01-19 11:17,278.29
2023-01-19 11:17,348.274
2023-01-19 11:18,392.161
2023-01-19 11:18,430.905
2023-01-19 11:18,443.422
